"Commodity-wise, Market-wise Daily Report for State (Market Category wise) on: 05-Jun-2026 for State : Madhya Pradesh, Market Category : All Categories"

Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price
Commodity Group Name : Cereals
Commodity Name : Bajra(Pearl Millet/Cumbu)
Alirajpur APMC,17.0,Metric Tonnes,Wheat,2300.0,2300.0,2300.0,Rs./Quintal
Amarpatan APMC,12.481000000000002,Metric Tonnes,Mill Quality,2306.0,2312.0,2312.0,Rs./Quintal
Anjad APMC,1.04,Metric Tonnes,Wheat,2275.0,2275.0,2275.0,Rs./Quintal
,1.6,Metric Tonnes,Lokwan,2390.0,2390.0,2390.0,Rs./Quintal
Aron APMC,330.22600000000006,Metric Tonnes,Sharbati,2423.0,3973.0,2605.0,Rs./Quintal
,239.36700000000002,Metric Tonnes,Wheat,2000.0,4430.0,2440.0,Rs./Quintal
Ashoknagar APMC,1.79,Metric Tonnes,Mohan Mondal,3730.0,3730.0,3730.0,Rs./Quintal
,480.823,Metric Tonnes,Sharbati,2450.0,4510.0,2700.0,Rs./Quintal
,930.4370000000001,Metric Tonnes,Wheat,2200.0,4425.0,2435.0,Rs./Quintal
Ashta APMC,458.672,Metric Tonnes,Wheat,2100.0,4301.0,2352.0,Rs./Quintal
,232.429,Metric Tonnes,Sharbati,2210.0,3200.0,2752.0,Rs./Quintal
,0.21600000000000003,Metric Tonnes,Lokwan,2526.0,2526.0,2526.0,Rs./Quintal
Badamalhera APMC,246.58000000000004,Metric Tonnes,Mill Quality,2300.0,2500.0,2467.0,Rs./Quintal
,153.3,Metric Tonnes,Mill Quality,2340.0,2360.0,2340.0,Rs./Quintal
Badarwas APMC,4.36,Metric Tonnes,Wheat,2220.0,2565.0,2565.0,Rs./Quintal
,187.372,Metric Tonnes,Sharbati,2400.0,2930.0,2550.0,Rs./Quintal
,191.662,Metric Tonnes,Wheat,2250.0,2790.0,2565.0,Rs./Quintal
Badnagar APMC,148.304,Metric Tonnes,Wheat,1501.0,2722.0,2421.0,Rs./Quintal
Badnawar APMC,296.018,Metric Tonnes,Wheat,2200.0,2880.0,2400.0,Rs./Quintal
Badod APMC,12.188,Metric Tonnes,Wheat,2257.0,2358.0,2358.0,Rs./Quintal
,23.615000000000002,Metric Tonnes,Wheat,1801.0,2371.0,2371.0,Rs./Quintal
Badwaha APMC,66.058,Metric Tonnes,Wheat,2290.0,2399.0,2364.0,Rs./Quintal
Badwani APMC,2.0,Metric Tonnes,Lokwan,2510.0,2510.0,2510.0,Rs./Quintal
,31.05,Metric Tonnes,Lokwan,2200.0,2501.0,2500.0,Rs./Quintal
,2.5,Metric Tonnes,Wheat,2400.0,2400.0,2400.0,Rs./Quintal
Bagli APMC,49.900000000000006,Metric Tonnes,Mill Quality,2300.0,2320.0,2320.0,Rs./Quintal
Baikunthpur APMC,89.5,Metric Tonnes,Wheat,2275.0,2325.0,2300.0,Rs./Quintal
,30.700000000000003,Metric Tonnes,Mill Quality,2300.0,2315.0,2315.0,Rs./Quintal
,8.445,Metric Tonnes,Wheat,2300.0,2300.0,2300.0,Rs./Quintal
Baktara APMC,24.624000000000002,Metric Tonnes,Wheat,2199.0,2210.0,2210.0,Rs./Quintal
,15.64,Metric Tonnes,Mill Quality,2210.0,2210.0,2210.0,Rs./Quintal
Bamora APMC,21.663,Metric Tonnes,Mill Quality,1500.0,2400.0,2299.0,Rs./Quintal
Banapura APMC,513.38,Metric Tonnes,Local,1219.0,2497.0,2342.0,Rs./Quintal
Banda APMC,91.93,Metric Tonnes,Wheat,2250.0,2315.0,2250.0,Rs./Quintal
,67.471,Metric Tonnes,Wheat,2246.0,2384.0,2300.0,Rs./Quintal
Bankhedi APMC,10.43,Metric Tonnes,Mill Quality,2191.0,2351.0,2351.0,Rs./Quintal
Bareli APMC,97.69,Metric Tonnes,Mill Quality,1953.0,2301.0,2290.0,Rs./Quintal
Begamganj APMC,217.827,Metric Tonnes,Wheat,2100.0,2835.0,2325.0,Rs./Quintal
,193.73800000000003,Metric Tonnes,Wheat,2200.0,2801.0,2350.0,Rs./Quintal
Beohari APMC,51.300000000000004,Metric Tonnes,Mill Quality,2210.0,2300.0,2300.0,Rs./Quintal
Berasia APMC,539.2020000000001,Metric Tonnes,Wheat,1200.0,2754.0,2400.0,Rs./Quintal
Betul APMC,996.1860000000001,Metric Tonnes,Mill Quality,2192.0,2479.0,2330.0,Rs./Quintal
,70.3,Metric Tonnes,Mill Quality,2161.0,2190.0,2180.0,Rs./Quintal
Bhander APMC,156.299,Metric Tonnes,Other,2325.0,2549.0,2365.0,Rs./Quintal
,544.349,Metric Tonnes,Mill Quality,2250.0,2476.0,2344.0,Rs./Quintal
Bhanpura APMC,0.5,Metric Tonnes,Mill Quality,2250.0,2250.0,2250.0,Rs./Quintal
Bhensdehi APMC,4.641,Metric Tonnes,Mill Quality,2270.0,2300.0,2300.0,Rs./Quintal
Bhikangaon APMC,189.52200000000002,Metric Tonnes,Wheat,2211.0,2476.0,2347.0,Rs./Quintal
Bhind APMC,95.5,Metric Tonnes,Wheat,2250.0,2426.0,2394.0,Rs./Quintal
Bhopal APMC,302.684,Metric Tonnes,Wheat,2158.0,3690.0,2340.0,Rs./Quintal
Biaora APMC,447.547,Metric Tonnes,Wheat,1875.0,2480.0,2330.0,Rs./Quintal
,5.338000000000001,Metric Tonnes,Other,2345.0,2375.0,2375.0,Rs./Quintal
,0.6900000000000001,Metric Tonnes,Mohan Mondal,2340.0,2340.0,2340.0,Rs./Quintal
Bina APMC,292.545,Metric Tonnes,Wheat,1700.0,2700.0,2350.0,Rs./Quintal
Binaganj APMC,121.71500000000002,Metric Tonnes,Wheat,2175.0,2455.0,2395.0,Rs./Quintal
Burhanpur APMC,7.545000000000001,Metric Tonnes,Wheat,2250.0,2305.0,2250.0,Rs./Quintal
,12.765,Metric Tonnes,Wheat,2310.0,2344.0,2321.0,Rs./Quintal
,7.823,Metric Tonnes,Lokwan,2200.0,2200.0,2200.0,Rs./Quintal
Chaakghat APMC,3.5,Metric Tonnes,Wheat,2325.0,2325.0,2325.0,Rs./Quintal
,23.900000000000002,Metric Tonnes,Mill Quality,2280.0,2380.0,2380.0,Rs./Quintal
Chaurai APMC,80.5,Metric Tonnes,Mill Quality,2290.0,2330.0,2330.0,Rs./Quintal
,10.200000000000001,Metric Tonnes,Wheat,2300.0,2300.0,2300.0,Rs./Quintal
,462.05600000000004,Metric Tonnes,Mill Quality,2250.0,2406.0,2360.0,Rs./Quintal
Chhapiheda APMC,32.077999999999996,Metric Tonnes,Wheat,2250.0,2350.0,2300.0,Rs./Quintal
Chhatarpur APMC,349.19000000000005,Metric Tonnes,Mill Quality,2300.0,2368.0,2346.0,Rs./Quintal
,20.5,Metric Tonnes,Wheat,2300.0,2310.0,2300.0,Rs./Quintal
Chhindwara APMC,1249.2820000000002,Metric Tonnes,Wheat,2200.0,2700.0,2391.0,Rs./Quintal
,430.5,Metric Tonnes,Mill Quality,2000.0,2410.0,2400.0,Rs./Quintal
,74.19800000000001,Metric Tonnes,Mill Quality,2375.0,2470.0,2420.0,Rs./Quintal
Chhpara APMC,17.321,Metric Tonnes,Wheat,2240.0,2250.0,2250.0,Rs./Quintal
,70.4,Metric Tonnes,Mill Quality,2240.0,2300.0,2250.0,Rs./Quintal
,40.858000000000004,Metric Tonnes,Mill Quality,2280.0,2315.0,2300.0,Rs./Quintal
Dabra APMC,926.1,Metric Tonnes,Other,2300.0,2605.0,2450.0,Rs./Quintal
,628.22,Metric Tonnes,Wheat,2300.0,2625.0,2400.0,Rs./Quintal
Damoh APMC,125.97000000000001,Metric Tonnes,Wheat,2200.0,2260.0,2240.0,Rs./Quintal
Datia APMC,678.375,Metric Tonnes,Mill Quality,2261.0,2603.0,2420.0,Rs./Quintal
,80.155,Metric Tonnes,Other,2327.0,2587.0,2400.0,Rs./Quintal
Deori APMC,304.264,Metric Tonnes,Wheat,2255.0,2330.0,2285.0,Rs./Quintal
,24.5,Metric Tonnes,Mill Quality,2300.0,2325.0,2300.0,Rs./Quintal
,104.50999999999999,Metric Tonnes,Mill Quality,2301.0,2365.0,2320.0,Rs./Quintal
Devandranagar APMC,125.29000000000002,Metric Tonnes,Wheat,2250.0,2350.0,2300.0,Rs./Quintal
Dewas APMC,21.052000000000003,Metric Tonnes,Lokwan,2427.0,2840.0,2840.0,Rs./Quintal
,917.116,Metric Tonnes,Wheat,1150.0,2878.0,2500.0,Rs./Quintal
,98.14800000000001,Metric Tonnes,Malwa Shakti,2150.0,2520.0,2399.0,Rs./Quintal
,3.54,Metric Tonnes,Wheat Mix,2424.0,2424.0,2424.0,Rs./Quintal
Dhamnod APMC,112.62700000000001,Metric Tonnes,Wheat,2250.0,2450.0,2400.0,Rs./Quintal
Dhar APMC,9.855,Metric Tonnes,Wheat,2340.0,2350.0,2350.0,Rs./Quintal
,10.0,Metric Tonnes,Mill Quality,2000.0,2000.0,2000.0,Rs./Quintal
,572.962,Metric Tonnes,Wheat,1172.0,2762.0,2370.0,Rs./Quintal
Dindori APMC,53.400000000000006,Metric Tonnes,Local,2150.0,2200.0,2200.0,Rs./Quintal
Gadarwada APMC,9.655000000000001,Metric Tonnes,Wheat,2150.0,2320.0,2252.0,Rs./Quintal
,199.3,Metric Tonnes,Mill Quality,2140.0,2350.0,2300.0,Rs./Quintal
Gairatganj APMC,149.025,Metric Tonnes,Wheat,60.0,2625.0,2360.0,Rs./Quintal
,32.088,Metric Tonnes,Wheat,2295.0,3100.0,2300.0,Rs./Quintal
Gandhwani APMC,105.226,Metric Tonnes,Wheat,2325.0,2380.0,2350.0,Rs./Quintal
Ganjbasoda APMC,96.678,Metric Tonnes,PISSI,1700.0,3125.0,2500.0,Rs./Quintal
,74.743,Metric Tonnes,Sharbati,2350.0,3882.0,2500.0,Rs./Quintal
,450.458,Metric Tonnes,Sujata,1200.0,2816.0,2550.0,Rs./Quintal
,32.586000000000006,Metric Tonnes,Malwa Shakti,2193.0,2470.0,2210.0,Rs./Quintal
,23.612000000000002,Metric Tonnes,Wheat,2000.0,2525.0,2200.0,Rs./Quintal
,11.488,Metric Tonnes,Local,2259.0,2280.0,2280.0,Rs./Quintal
,45.421,Metric Tonnes,Lokwan,2100.0,3725.0,2500.0,Rs./Quintal
Garhakota APMC,95.24900000000001,Metric Tonnes,Wheat,2200.0,2430.0,2265.0,Rs./Quintal
Gautampura APMC,23.202,Metric Tonnes,Wheat,2410.0,2500.0,2500.0,Rs./Quintal
Ghansour APMC,42.2,Metric Tonnes,Local,2225.0,2255.0,2255.0,Rs./Quintal
,17.2,Metric Tonnes,Mill Quality,2305.0,2308.0,2308.0,Rs./Quintal
,133.201,Metric Tonnes,Mill Quality,2250.0,2350.0,2290.0,Rs./Quintal
Gohad APMC,279.341,Metric Tonnes,Wheat,2100.0,2725.0,2350.0,Rs./Quintal
