"Commodity-wise, Market-wise Daily Report for State (Market Category wise) on: 05-Jun-2026 for State : Madhya Pradesh, Market Category : All Categories"

Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price
Commodity Group Name : Cereals
Commodity Name : Bajra(Pearl Millet/Cumbu)
Vidisha APMC,127.49100000000001,Metric Tonnes,Sharbati,2800.0,4675.0,2800.0,Rs./Quintal
,694.7080000000001,Metric Tonnes,Wheat,1904.0,4450.0,2600.0,Rs./Quintal
Vijaypur APMC,2.259,Metric Tonnes,Mill Quality,2340.0,2340.0,2340.0,Rs./Quintal
,13.5,Metric Tonnes,Wheat,2300.0,2325.0,2325.0,Rs./Quintal
,22.5,Metric Tonnes,Wheat,2590.0,2600.0,2600.0,Rs./Quintal
Commodity Group Name : Drug and Narcotics
Commodity Name : Asalia
Agar APMC,0.731,Metric Tonnes,Asalia,3500.0,5971.0,5971.0,Rs./Quintal
Mandsaur APMC,1.592,Metric Tonnes,Asalia,5300.0,6399.0,6399.0,Rs./Quintal
Shamgarh APMC,0.42100000000000004,Metric Tonnes,Asalia,5600.0,5600.0,5600.0,Rs./Quintal
Commodity Name : Ashwagandha
Chhindwara APMC,0.6280000000000001,Metric Tonnes,Ashwagandha,15000.0,17000.0,17000.0,Rs./Quintal
Neemuch APMC,1.616,Metric Tonnes,Ashwagandha,14001.0,20300.0,16000.0,Rs./Quintal
,11.403,Metric Tonnes,Ashwagandha,11400.0,23000.0,13000.0,Rs./Quintal
Sehore APMC,4.996,Metric Tonnes,Ashwagandha,15000.0,21800.0,17900.0,Rs./Quintal
Commodity Name : Isabgul(Psyllium)
Jaora APMC,0.11599999999999999,Metric Tonnes,Isabgol,6000.0,10531.0,10531.0,Rs./Quintal
Mandsaur APMC,1.537,Metric Tonnes,Isabgol,6001.0,12351.0,12351.0,Rs./Quintal
Neemuch APMC,0.263,Metric Tonnes,Isabgol,4000.0,10000.0,10000.0,Rs./Quintal
,1.034,Metric Tonnes,Isabgol,11000.0,13550.0,13550.0,Rs./Quintal
Commodity Name : Mahua
Niwadi APMC,26.060000000000002,Metric Tonnes,Mahua Flower,2650.0,2810.0,2810.0,Rs./Quintal
Satna APMC,5.0,Metric Tonnes,Mahua Flower,4000.0,4000.0,4000.0,Rs./Quintal
Commodity Name : Palash flowers
Neemuch APMC,0.042,Metric Tonnes,Palash Flowers,3510.0,3510.0,3510.0,Rs./Quintal
Commodity Name : Pupadia
Khilchipur APMC,11.122,Metric Tonnes,Pupadia,2610.0,2640.0,2640.0,Rs./Quintal
Commodity Name : Tobacco
Mandla APMC,24.323,Metric Tonnes,Tobacco,3380.34,3380.34,3380.34,Rs./Quintal
Commodity Name : basil
Jaora APMC,0.294,Metric Tonnes,Basil,12600.0,16300.0,16300.0,Rs./Quintal
Mandsaur APMC,1.7930000000000001,Metric Tonnes,Basil seed,500.0,16796.0,16796.0,Rs./Quintal
Neemuch APMC,0.477,Metric Tonnes,Basil seed,16500.0,18401.0,18401.0,Rs./Quintal
Commodity Name : karanja seeds
Neemuch APMC,0.017,Metric Tonnes,Karanja Seeds,4001.0,4001.0,4001.0,Rs./Quintal
Commodity Name : nigella seeds
Jaora APMC,0.365,Metric Tonnes,Kalonji/Nigella,12000.0,17620.0,17620.0,Rs./Quintal
Mandsaur APMC,0.559,Metric Tonnes,Kalonji/Nigella,16400.0,18181.0,18181.0,Rs./Quintal
Commodity Group Name : Fibre Crops
Commodity Name : Cotton
Dhamnod APMC,0.13,Metric Tonnes,Without Ginned Cotton,5205.0,5205.0,5205.0,Rs./Quintal
Gandhwani APMC,0.15500000000000003,Metric Tonnes,Without Ginned Cotton,7300.0,7300.0,7300.0,Rs./Quintal
Jobat APMC,10.190000000000001,Metric Tonnes,Without Ginned Cotton,7500.0,7500.0,7500.0,Rs./Quintal
Khetia APMC,0.82,Metric Tonnes,Without Ginned Cotton,7655.0,8955.0,8955.0,Rs./Quintal
Kukshi APMC,11.515,Metric Tonnes,Without Ginned Cotton,7100.0,9150.0,9150.0,Rs./Quintal
Commodity Group Name : Forest Products
Commodity Name : Behada
Neemuch APMC,0.768,Metric Tonnes,Behada,812.0,812.0,812.0,Rs./Quintal
Umariya APMC,2.5,Metric Tonnes,Behada,1200.0,1200.0,1200.0,Rs./Quintal
Commodity Name : Giloy
Neemuch APMC,0.397,Metric Tonnes,Giloy,2300.0,3100.0,3100.0,Rs./Quintal
Commodity Name : Gond
Bhopal APMC,122.0,Metric Tonnes,Gond,12283.37,12453.04,12283.37,Rs./Quintal
Commodity Name : Harrah
Dindori APMC,1.0,Metric Tonnes,Harrah,1205.0,1205.0,1205.0,Rs./Quintal
Umariya APMC,3.5,Metric Tonnes,Harrah,1500.0,1500.0,1500.0,Rs./Quintal
Commodity Name : Neem Seed
Anjad APMC,57.89,Metric Tonnes,Neem Seed,1500.0,1625.0,1600.0,Rs./Quintal
,31.430000000000003,Metric Tonnes,Neem Seed,1500.0,1600.0,1500.0,Rs./Quintal
Badwani APMC,31.8,Metric Tonnes,Neem Seed,1200.0,1300.0,1300.0,Rs./Quintal
Dhamnod APMC,37.185,Metric Tonnes,Neem Seed,1400.0,1675.0,1675.0,Rs./Quintal
Kasrawad APMC,82.65,Metric Tonnes,Neem Seed,1620.0,1660.0,1650.0,Rs./Quintal
Khargone APMC,2.9850000000000003,Metric Tonnes,Neem Seed,900.0,900.0,900.0,Rs./Quintal
Kukshi APMC,31.8,Metric Tonnes,Neem Seed,1200.0,1200.0,1200.0,Rs./Quintal
Manawar APMC,15.730000000000002,Metric Tonnes,Neem Seed,1450.0,1500.0,1500.0,Rs./Quintal
Neemuch APMC,0.065,Metric Tonnes,Neem leaves,1600.0,1600.0,1600.0,Rs./Quintal
Commodity Name : Tamarind Fruit
Ashoknagar APMC,1.4050000000000002,Metric Tonnes,Tamarind,3500.0,3500.0,3500.0,Rs./Quintal
Chhindwara APMC,53.7,Metric Tonnes,Tamarind,3500.0,7060.0,3600.0,Rs./Quintal
Dewas APMC,1.114,Metric Tonnes,Tamarind,3601.0,5280.0,5280.0,Rs./Quintal
Indore APMC,0.384,Metric Tonnes,Tamarind,3300.0,3300.0,3300.0,Rs./Quintal
Commodity Group Name : Fruits
Commodity Name : Apple
Harda(F&V) APMC,0.1,Metric Tonnes,Apple,8000.0,10000.0,9000.0,Rs./Quintal
Commodity Name : Banana
Burhanpur APMC,59.555,Metric Tonnes,Khandesh,811.0,1371.0,1371.0,Rs./Quintal
Indore(F&V) APMC,9.0,Metric Tonnes,Other,600.0,1200.0,800.0,Rs./Quintal
Jabalpur(F&V) APMC,19.1,Metric Tonnes,Medium,2200.0,2600.0,2400.0,Rs./Quintal
Sagar(F&V) APMC,4.0,Metric Tonnes,Medium,1000.0,1200.0,1100.0,Rs./Quintal
Commodity Name : Grapes
Harda(F&V) APMC,0.2,Metric Tonnes,Green,3600.0,3800.0,3700.0,Rs./Quintal
Commodity Name : Karbuja(Musk Melon)
Harda(F&V) APMC,0.2,Metric Tonnes,Karbhuja,800.0,1000.0,900.0,Rs./Quintal
Indore(F&V) APMC,45.0,Metric Tonnes,Karbhuja,800.0,2000.0,1600.0,Rs./Quintal
Satna(F&V) APMC,3.0,Metric Tonnes,Karbhuja,800.0,800.0,800.0,Rs./Quintal
Commodity Name : Mango
Alirajpur(F&V) APMC,38.800000000000004,Metric Tonnes,Other,1500.0,4000.0,3000.0,Rs./Quintal
Harda(F&V) APMC,3.0,Metric Tonnes,Totapuri,1800.0,2200.0,2000.0,Rs./Quintal
Indore(F&V) APMC,24.5,Metric Tonnes,Other,1500.0,8000.0,5000.0,Rs./Quintal
Jabalpur(F&V) APMC,20.0,Metric Tonnes,Other,2800.0,3200.0,3000.0,Rs./Quintal
Lashkar(F&V) APMC,10.0,Metric Tonnes,Other,2000.0,3000.0,2500.0,Rs./Quintal
Sagar(F&V) APMC,4.0,Metric Tonnes,Other,3000.0,5000.0,4000.0,Rs./Quintal
Satna(F&V) APMC,8.3,Metric Tonnes,Totapuri,2300.0,3000.0,2650.0,Rs./Quintal
Commodity Name : Mousambi(Sweet Lime)
Satna(F&V) APMC,0.30000000000000004,Metric Tonnes,Mousambi,5000.0,5000.0,5000.0,Rs./Quintal
Commodity Name : Papaya
Harda(F&V) APMC,0.6000000000000001,Metric Tonnes,Papaya,1100.0,1300.0,1200.0,Rs./Quintal
Indore(F&V) APMC,15.0,Metric Tonnes,Papaya,600.0,2000.0,1400.0,Rs./Quintal
Satna(F&V) APMC,1.5,Metric Tonnes,Papaya,1700.0,1700.0,1700.0,Rs./Quintal
Commodity Name : Pineapple
Harda(F&V) APMC,0.2,Metric Tonnes,Other,1400.0,1600.0,1500.0,Rs./Quintal
Indore(F&V) APMC,15.0,Metric Tonnes,Pine Apple,1500.0,4500.0,3000.0,Rs./Quintal
Commodity Name : Pomegranate
Harda(F&V) APMC,0.2,Metric Tonnes,Pomogranate,7500.0,8000.0,7900.0,Rs./Quintal
Indore(F&V) APMC,4.0,Metric Tonnes,Pomogranate,2500.0,8000.0,5000.0,Rs./Quintal
Commodity Name : Water Melon
Harda(F&V) APMC,0.5,Metric Tonnes,Water Melon,700.0,900.0,800.0,Rs./Quintal
Indore(F&V) APMC,95.0,Metric Tonnes,Water Melon,800.0,1600.0,1200.0,Rs./Quintal
Satna(F&V) APMC,3.0,Metric Tonnes,Water Melon,900.0,900.0,900.0,Rs./Quintal
Commodity Group Name : Oil Seeds
Commodity Name : Castor Seed
Neemuch APMC,0.022000000000000002,Metric Tonnes,Caster,5150.0,5150.0,5150.0,Rs./Quintal
Segaon APMC,2.23,Metric Tonnes,Caster,5800.0,5800.0,5800.0,Rs./Quintal
Commodity Name : Groundnut
Alirajpur APMC,42.900000000000006,Metric Tonnes,Big (With Shell),5000.0,7200.0,7200.0,Rs./Quintal
Anjad APMC,0.6900000000000001,Metric Tonnes,Big (With Shell),6500.0,6500.0,6500.0,Rs./Quintal
Jobat APMC,30.560000000000002,Metric Tonnes,Big (With Shell),6900.0,7500.0,6900.0,Rs./Quintal
Karera APMC,26.173000000000002,Metric Tonnes,Big (With Shell),6000.0,7511.0,6590.0,Rs./Quintal
Khargone APMC,5.587,Metric Tonnes,Big (With Shell),6500.0,6500.0,6500.0,Rs./Quintal
Khetia APMC,5.170000000000001,Metric Tonnes,Big (With Shell),7130.0,7825.0,7800.0,Rs./Quintal
Mandsaur APMC,6.507,Metric Tonnes,Big (With Shell),4200.0,8800.0,7001.0,Rs./Quintal
,0.195,Metric Tonnes,Groundnut seed,7751.0,7751.0,7751.0,Rs./Quintal
,0.165,Metric Tonnes,Big (With Shell),7200.0,7200.0,7200.0,Rs./Quintal
Neemuch APMC,10.463000000000001,Metric Tonnes,Big (With Shell),4000.0,8330.0,7600.0,Rs./Quintal
Pandhurna APMC,3.529,Metric Tonnes,Big (With Shell),5800.0,6000.0,6000.0,Rs./Quintal
Piplya APMC,0.073,Metric Tonnes,Big (With Shell),6851.0,7003.0,7003.0,Rs./Quintal
Sendhwa APMC,1.435,Metric Tonnes,Big (With Shell),7000.0,7295.0,7295.0,Rs./Quintal
Shamgarh APMC,0.136,Metric Tonnes,Big (With Shell),7301.0,8530.0,8530.0,Rs./Quintal
Commodity Name : Linseed
Agar APMC,1.614,Metric Tonnes,Flaxseed,7000.0,8900.0,8900.0,Rs./Quintal
Damoh APMC,2.051,Metric Tonnes,Flaxseed,8425.0,8795.0,8795.0,Rs./Quintal
Ganjbasoda APMC,0.427,Metric Tonnes,Flaxseed,8000.0,8200.0,8200.0,Rs./Quintal
Jabalpur APMC,0.271,Metric Tonnes,Flaxseed,7955.0,8700.0,8700.0,Rs./Quintal
Jaora APMC,11.535,Metric Tonnes,Flaxseed,7251.0,9300.0,9050.0,Rs./Quintal
Katni APMC,0.7030000000000001,Metric Tonnes,Flaxseed,8341.0,8351.0,8351.0,Rs./Quintal
,1.1050000000000002,Metric Tonnes,Flaxseed,8300.0,8400.0,8400.0,Rs./Quintal
Manasa APMC,15.934000000000001,Metric Tonnes,Flaxseed,8300.0,9180.0,9040.0,Rs./Quintal
Mandsaur APMC,65.303,Metric Tonnes,Flaxseed,7400.0,9076.0,8850.0,Rs./Quintal
Neemuch APMC,24.103,Metric Tonnes,Flaxseed,8525.0,9300.0,9176.0,Rs./Quintal
Piplya APMC,0.545,Metric Tonnes,Flaxseed,8546.0,8751.0,8751.0,Rs./Quintal
Rewa APMC,0.375,Metric Tonnes,Flaxseed,7375.0,7711.0,7711.0,Rs./Quintal
Sagar APMC,0.41200000000000003,Metric Tonnes,Flaxseed,8680.0,9055.0,9055.0,Rs./Quintal
Satna APMC,6.101,Metric Tonnes,Flaxseed,8355.0,8990.0,8990.0,Rs./Quintal
Shahdol APMC,3.0,Metric Tonnes,Flaxseed,8300.0,8300.0,8300.0,Rs./Quintal
Shamgarh APMC,0.342,Metric Tonnes,Flaxseed,8601.0,8686.0,8686.0,Rs./Quintal
Sitmau APMC,7.0920000000000005,Metric Tonnes,Flaxseed,8321.0,8840.0,8660.0,Rs./Quintal
Commodity Name : Mustard
Agar APMC,21.137,Metric Tonnes,Mustard,5801.0,7340.0,7340.0,Rs./Quintal
Ashoknagar APMC,161.61900000000003,Metric Tonnes,Mustard,6711.0,7450.0,7190.0,Rs./Quintal
Ashta APMC,8.249,Metric Tonnes,Mustard,6201.0,7200.0,6800.0,Rs./Quintal
Badarwas APMC,1.085,Metric Tonnes,Mustard,6890.0,7300.0,7300.0,Rs./Quintal
,13.836000000000002,Metric Tonnes,Mustard,6905.0,7320.0,7320.0,Rs./Quintal
Baikunthpur APMC,7.840000000000001,Metric Tonnes,Mustard,7380.0,7400.0,7400.0,Rs./Quintal
Banda APMC,0.25,Metric Tonnes,Mustard,6850.0,6900.0,6900.0,Rs./Quintal
Begamganj APMC,1.433,Metric Tonnes,Mustard,5600.0,7100.0,6700.0,Rs./Quintal
,3.0300000000000002,Metric Tonnes,Mustard,6900.0,7520.0,7520.0,Rs./Quintal
Beohari APMC,2.5,Metric Tonnes,Mustard,6250.0,6250.0,6250.0,Rs./Quintal
Berasia APMC,0.6930000000000001,Metric Tonnes,Mustard,6900.0,7400.0,7400.0,Rs./Quintal
Betul APMC,16.36,Metric Tonnes,Mustard,5000.0,7100.0,6501.0,Rs./Quintal
Bhander APMC,5.015000000000001,Metric Tonnes,Mustard,7200.0,7200.0,7200.0,Rs./Quintal
Bhensdehi APMC,0.034,Metric Tonnes,Mustard,6901.0,6901.0,6901.0,Rs./Quintal
Bhind APMC,29.365,Metric Tonnes,Mustard,6985.0,7275.0,7220.0,Rs./Quintal
Bhopal APMC,0.743,Metric Tonnes,Mustard,6770.0,6770.0,6770.0,Rs./Quintal
Biaora APMC,22.736000000000004,Metric Tonnes,Mustard,6520.0,7140.0,7080.0,Rs./Quintal
Bina APMC,7.7,Metric Tonnes,Mustard,5500.0,7571.0,7000.0,Rs./Quintal
,1.5350000000000001,Metric Tonnes,Mustard,6860.0,7200.0,7200.0,Rs./Quintal
Binaganj APMC,11.234000000000002,Metric Tonnes,Mustard,6500.0,7090.0,7030.0,Rs./Quintal
Chaurai APMC,0.5,Metric Tonnes,Mustard,5500.0,5500.0,5500.0,Rs./Quintal
Chhatarpur APMC,53.75,Metric Tonnes,Mustard,7000.0,7200.0,7200.0,Rs./Quintal
Chhindwara APMC,7.4,Metric Tonnes,Mustard,6300.0,7300.0,7300.0,Rs./Quintal
Dabra APMC,8.535,Metric Tonnes,Mustard,7450.0,7550.0,7500.0,Rs./Quintal
Damoh APMC,15.626,Metric Tonnes,Mustard,6410.0,7650.0,6900.0,Rs./Quintal
Datia APMC,1.4000000000000001,Metric Tonnes,Mustard,7445.0,7550.0,7550.0,Rs./Quintal
Deori APMC,17.930000000000003,Metric Tonnes,Mustard,6550.0,6700.0,6700.0,Rs./Quintal
Dewas APMC,3.7310000000000003,Metric Tonnes,Mustard,6370.0,7410.0,6800.0,Rs./Quintal
Gairatganj APMC,0.12,Metric Tonnes,Mustard,7700.0,7700.0,7700.0,Rs./Quintal
Ganjbasoda APMC,70.33800000000001,Metric Tonnes,Mustard,5000.0,7731.0,7200.0,Rs./Quintal
Garhakota APMC,0.7650000000000001,Metric Tonnes,Mustard,6525.0,6955.0,6955.0,Rs./Quintal
Gohad APMC,146.245,Metric Tonnes,Mustard,6800.0,7500.0,7355.0,Rs./Quintal
Gorakhpur APMC,1.25,Metric Tonnes,Sarson(Black),6400.0,6400.0,6400.0,Rs./Quintal
Guna APMC,15.994,Metric Tonnes,Mustard,4305.0,7350.0,7230.0,Rs./Quintal
Haatpipliya APMC,0.521,Metric Tonnes,Mustard,6730.0,6841.0,6841.0,Rs./Quintal
Harda APMC,0.722,Metric Tonnes,Mustard,6500.0,7900.0,7900.0,Rs./Quintal
Harsood APMC,0.048,Metric Tonnes,Mustard,6500.0,6500.0,6500.0,Rs./Quintal
Ichhawar APMC,0.557,Metric Tonnes,Mustard,6780.0,6801.0,6801.0,Rs./Quintal
Indore APMC,0.4610000000000001,Metric Tonnes,Mustard,6180.0,6700.0,6700.0,Rs./Quintal
Isagarh APMC,3.5950000000000006,Metric Tonnes,Mustard,7000.0,7360.0,7360.0,Rs./Quintal
Itarsi APMC,16.75,Metric Tonnes,Mustard,5501.0,7825.0,6500.0,Rs./Quintal
Jabalpur APMC,19.482,Metric Tonnes,Mustard,5305.0,7630.0,7595.0,Rs./Quintal
Jaora APMC,2.355,Metric Tonnes,Mustard,7150.0,7350.0,7350.0,Rs./Quintal
Jeerapur APMC,6.408,Metric Tonnes,Mustard,6600.0,7260.0,7260.0,Rs./Quintal
Kailaras APMC,1.8,Metric Tonnes,Mustard,7441.0,7441.0,7441.0,Rs./Quintal
Kalapipal APMC,10.239,Metric Tonnes,Mustard,6900.0,7271.0,6900.0,Rs./Quintal
Kannod APMC,5.032,Metric Tonnes,Mustard,5000.0,6870.0,6870.0,Rs./Quintal
Katni APMC,13.104,Metric Tonnes,Mustard,6025.0,7300.0,7300.0,Rs./Quintal
,71.26100000000001,Metric Tonnes,Mustard,6400.0,7273.0,6900.0,Rs./Quintal
Khandwa APMC,1.135,Metric Tonnes,Mustard,6601.0,7700.0,7700.0,Rs./Quintal
Khategaon APMC,26.592000000000002,Metric Tonnes,Mustard,4500.0,7111.0,7100.0,Rs./Quintal
Khatora APMC,0.2,Metric Tonnes,Mustard,6840.0,6840.0,6840.0,Rs./Quintal
Khujner APMC,0.5940000000000001,Metric Tonnes,Mustard,7270.0,7270.0,7270.0,Rs./Quintal
Khurai APMC,2.8000000000000003,Metric Tonnes,Mustard,6050.0,7505.0,7505.0,Rs./Quintal
Kolaras APMC,113.233,Metric Tonnes,Mustard,6200.0,7580.0,7345.0,Rs./Quintal
,7.248000000000001,Metric Tonnes,Mustard,7290.0,7480.0,7480.0,Rs./Quintal
Kurawar APMC,4.6770000000000005,Metric Tonnes,Mustard,5225.0,7340.0,6885.0,Rs./Quintal
Lahar APMC,21.6,Metric Tonnes,Mustard,6501.0,7215.0,7215.0,Rs./Quintal
Lashkar APMC,122.79500000000002,Metric Tonnes,Mustard,7105.0,7745.0,7400.0,Rs./Quintal
LavKush Nagar(Laundi) APMC,44.6,Metric Tonnes,Mustard,6700.0,7250.0,7100.0,Rs./Quintal
Maksudangarh APMC,1.215,Metric Tonnes,Mustard,6500.0,7000.0,7000.0,Rs./Quintal
Manasa APMC,6.501000000000001,Metric Tonnes,Mustard,6570.0,7490.0,7490.0,Rs./Quintal
Mandsaur APMC,25.826,Metric Tonnes,Mustard,3000.0,7437.0,7190.0,Rs./Quintal
Mehgaon APMC,17.81,Metric Tonnes,Mustard,7225.0,7375.0,7325.0,Rs./Quintal
Morena APMC,115.22200000000001,Metric Tonnes,Mustard,7225.0,7490.0,7350.0,Rs./Quintal
Mow APMC,32.013,Metric Tonnes,Mustard,7000.0,7475.0,7400.0,Rs./Quintal
Mungawali APMC,0.1,Metric Tonnes,Mustard,6815.0,6815.0,6815.0,Rs./Quintal
,0.635,Metric Tonnes,Mustard,7000.0,7155.0,7155.0,Rs./Quintal
Nagod APMC,9.0,Metric Tonnes,Mustard,6700.0,7000.0,7000.0,Rs./Quintal
Nalkehda APMC,1.8820000000000001,Metric Tonnes,Mustard,6970.0,7070.0,7070.0,Rs./Quintal
Narsinghgarh APMC,18.404,Metric Tonnes,Mustard,5900.0,7190.0,6600.0,Rs./Quintal
Narsinghpur APMC,1.915,Metric Tonnes,Sarson(Black),6800.0,7675.0,6800.0,Rs./Quintal
,0.7030000000000001,Metric Tonnes,Sarson(Black),6850.0,7850.0,7850.0,Rs./Quintal
Neemuch APMC,13.939,Metric Tonnes,Mustard,6400.0,7700.0,7211.0,Rs./Quintal
Panna APMC,1.561,Metric Tonnes,Mustard,6699.0,7905.0,7905.0,Rs./Quintal
Pipariya APMC,0.4,Metric Tonnes,Mustard,6800.0,7800.0,7800.0,Rs./Quintal
Piplya APMC,0.617,Metric Tonnes,Mustard,6951.0,7232.0,7232.0,Rs./Quintal
Pohari APMC,94.25200000000001,Metric Tonnes,Mustard,6500.0,7835.0,7795.0,Rs./Quintal
Porsa APMC,26.3,Metric Tonnes,Mustard,7150.0,7345.0,7250.0,Rs./Quintal
Rajnagar APMC,73.5,Metric Tonnes,Mustard,6950.0,7200.0,7000.0,Rs./Quintal
Rehli APMC,1.032,Metric Tonnes,Mustard,6882.0,6882.0,6882.0,Rs./Quintal
Rewa APMC,2.105,Metric Tonnes,Sarson(Black),6761.0,7035.0,7035.0,Rs./Quintal
Sabalgarh APMC,27.67,Metric Tonnes,Mustard,7040.0,7340.0,7145.0,Rs./Quintal
Sagar APMC,17.566,Metric Tonnes,Mustard,4805.0,7470.0,7225.0,Rs./Quintal
Satna APMC,62.938,Metric Tonnes,Mustard,6200.0,7370.0,7300.0,Rs./Quintal
Sehore APMC,3.9890000000000003,Metric Tonnes,Mustard,6636.0,7860.0,7860.0,Rs./Quintal
,0.05500000000000001,Metric Tonnes,Sarson(Black),7300.0,7300.0,7300.0,Rs./Quintal
Seoni APMC,3.0,Metric Tonnes,Mustard,6300.0,6300.0,6300.0,Rs./Quintal
Sevda APMC,0.2,Metric Tonnes,Mustard,7375.0,7375.0,7375.0,Rs./Quintal
Shajapur APMC,4.5040000000000004,Metric Tonnes,Mustard,6700.0,7069.0,7069.0,Rs./Quintal
Shamgarh APMC,1.162,Metric Tonnes,Mustard,6900.0,7151.0,7151.0,Rs./Quintal
Sheopurbadod APMC,4.819,Metric Tonnes,Mustard,7416.0,7480.0,7480.0,Rs./Quintal
Sheopurkalan APMC,52.709,Metric Tonnes,Mustard,6975.0,7441.0,7405.0,Rs./Quintal
Shivpuri APMC,20.559,Metric Tonnes,Mustard,7350.0,7880.0,7400.0,Rs./Quintal
Shujalpur APMC,6.890000000000001,Metric Tonnes,Mustard,6848.0,7270.0,7001.0,Rs./Quintal
Sironj APMC,7.386,Metric Tonnes,Mustard,6000.0,6940.0,6880.0,Rs./Quintal
Sonkatch APMC,0.095,Metric Tonnes,Mustard,6600.0,6913.0,6913.0,Rs./Quintal
Tikamgarh APMC,12.022,Metric Tonnes,Mustard,6460.0,7400.0,7400.0,Rs./Quintal
Timarni APMC,0.196,Metric Tonnes,Mustard,6800.0,7050.0,7050.0,Rs./Quintal
Vidisha APMC,4.024,Metric Tonnes,Mustard,5540.0,7900.0,7200.0,Rs./Quintal
Vijaypur APMC,33.48500000000001,Metric Tonnes,Mustard,7300.0,7500.0,7400.0,Rs./Quintal
,37.300000000000004,Metric Tonnes,Mustard,7300.0,7450.0,7400.0,Rs./Quintal
"Commodity Name : Sesamum(Sesame,Gingelly,Til)"
Bhander APMC,11.290000000000001,Metric Tonnes,Sesame,7200.0,9785.0,9785.0,Rs./Quintal
Dewas APMC,0.29900000000000004,Metric Tonnes,Sesame,7010.0,8550.0,8550.0,Rs./Quintal
Indore APMC,0.062,Metric Tonnes,Sesame,8495.0,8495.0,8495.0,Rs./Quintal
Jaora APMC,71.312,Metric Tonnes,Sesame,3000.0,18851.0,11500.0,Rs./Quintal
Jeerapur APMC,1.6219999999999999,Metric Tonnes,Sesame,10325.0,11250.0,10825.0,Rs./Quintal
LavKush Nagar(Laundi) APMC,3.5,Metric Tonnes,White,8865.0,9500.0,9500.0,Rs./Quintal
Mandsaur APMC,20.934,Metric Tonnes,Sesame,8000.0,11658.0,10800.0,Rs./Quintal
Neemuch APMC,0.10400000000000001,Metric Tonnes,Chitti,10912.0,10912.0,10912.0,Rs./Quintal
,31.003,Metric Tonnes,Sesame,5000.0,12700.0,12500.0,Rs./Quintal
Rajnagar APMC,26.8,Metric Tonnes,Sesame,7500.0,8500.0,8000.0,Rs./Quintal
Satna APMC,1.168,Metric Tonnes,Sesame,9005.0,9005.0,9005.0,Rs./Quintal
Shamgarh APMC,3.6880000000000006,Metric Tonnes,Sesame,9700.0,11655.0,11001.0,Rs./Quintal
Commodity Name : Soyabean
A lot APMC,12.323,Metric Tonnes,Soyabeen,4501.0,7700.0,6495.0,Rs./Quintal
Agar APMC,53.98500000000001,Metric Tonnes,Soyabeen,2200.0,6811.0,6710.0,Rs./Quintal
Aron APMC,8.998000000000001,Metric Tonnes,Soyabeen,5790.0,6690.0,6595.0,Rs./Quintal
Ashoknagar APMC,329.283,Metric Tonnes,Soyabeen,2911.0,6850.0,6600.0,Rs./Quintal
Ashta APMC,347.63300000000004,Metric Tonnes,Soyabeen,2000.0,8500.0,6400.0,Rs./Quintal
Badamalhera APMC,7.5,Metric Tonnes,Soyabeen,4865.0,4986.0,4986.0,Rs./Quintal
Badarwas APMC,11.774000000000001,Metric Tonnes,Soyabeen,6450.0,6550.0,6550.0,Rs./Quintal
Badnagar APMC,507.779,Metric Tonnes,Yellow,3001.0,9951.0,6800.0,Rs./Quintal
Badnawar APMC,278.113,Metric Tonnes,Yellow,3900.0,8000.0,6820.0,Rs./Quintal
,0.8480000000000001,Metric Tonnes,Soyabeen,6495.0,6926.0,6926.0,Rs./Quintal
,11.271,Metric Tonnes,Yellow,2850.0,5675.0,5675.0,Rs./Quintal
Badod APMC,0.27999999999999997,Metric Tonnes,Soyabeen,6441.0,6490.0,6490.0,Rs./Quintal
Bamora APMC,2.185,Metric Tonnes,Yellow,4801.0,6400.0,6400.0,Rs./Quintal
Banapura APMC,2.305,Metric Tonnes,Yellow,3500.0,6781.0,6781.0,Rs./Quintal
Banda APMC,0.1,Metric Tonnes,Soyabeen,5900.0,5900.0,5900.0,Rs./Quintal
,14.100000000000001,Metric Tonnes,Soyabeen,5500.0,5575.0,5550.0,Rs./Quintal
Begamganj APMC,6.4750000000000005,Metric Tonnes,Soyabeen,4995.0,6775.0,6640.0,Rs./Quintal
,8.31,Metric Tonnes,Soyabeen,5675.0,6670.0,6600.0,Rs./Quintal
Berasia APMC,46.384,Metric Tonnes,Yellow,4130.0,7050.0,6300.0,Rs./Quintal
,19.586000000000002,Metric Tonnes,Soyabeen,3200.0,7500.0,6475.0,Rs./Quintal
Betul APMC,155.395,Metric Tonnes,Soyabeen,4800.0,6500.0,6100.0,Rs./Quintal
Bhensdehi APMC,0.447,Metric Tonnes,Yellow,6201.0,6501.0,6501.0,Rs./Quintal
Bhikangaon APMC,12.886000000000003,Metric Tonnes,Soyabeen,4550.0,7300.0,7300.0,Rs./Quintal
Bhopal APMC,13.587000000000002,Metric Tonnes,Soyabeen,5200.0,7680.0,6437.0,Rs./Quintal
Biaora APMC,21.023,Metric Tonnes,Soyabeen,5800.0,6780.0,6495.0,Rs./Quintal
Bina APMC,24.635,Metric Tonnes,Soyabeen,4270.0,6720.0,6720.0,Rs./Quintal
Binaganj APMC,1.8730000000000002,Metric Tonnes,Soyabeen,4000.0,6440.0,6440.0,Rs./Quintal
